id,Authors,Title,Year,Source title,Cited by,DOI,Abstract,Author Keywords,Index Keywords,Publisher,Conference name,Conference date,Conference location,Document Type,Publication Stage,Open Access
59,Thun S.,Data in the clinic and the practice—what is important?; [Daten in Klinik und Praxis – was ist wichtig?],2018,Gynakologe,0.0,10.1007/s00129-018-4253-1,"Background: Digitalization of health care will change the requirements of medical documentation enormously. The new requirements of the so-called eHealth Act mean that payment-driven and legal liability documentation will become increasingly medically dominated documentation. Additionally, patient data are no longer collected exclusively by physicians, but rather accumulated from many different sources. Patients are placed in the position of being able to document their data in their own patient records. Materials and methods: The requirements of medical documentation according to the German Code of Social Law (Sozialgesetzbuch, SGB) V were analyzed. The services of the systems for practice-based gynecologists and for gynecological departments in hospitals were summarized. Furthermore, a literature search was performed in PubMed and within the relevant journals for gynecology. Results: Since different organizations set different requirements for the content and technical aspects of medical and administrative applications and concepts, the documentation for the requirements is not only extensive, but also highly complicated and time consuming. Semantic interoperability is not given. Conclusion: The unclarified IT (information technology) situation in the German health care sector with respect to the IT standards to be applied faces all players with formidable challenges. Patients and medical staff are the persons affected. An all-encompassing e‑health strategy supported by all players including harmonization of the ensuing documentation is currently lacking. © 2018, Springer Verlag. All rights reserved.",Data archiving; Documentation; Health care sector; Health information interoperability; Telemedicine,adult; article; data interoperability; female; gynecologist; gynecology; health care cost; human; information technology; medical documentation; medical record; medical staff; Medline; systematic review; telemedicine,Springer Verlag,,,,Review,Final,
60,Bohn M.K.; Fabiano G.F.; Adeli K.,"Electronic tools in clinical laboratory diagnostics: Key examples, limitations, and value in laboratory medicine",2021,Journal of Laboratory Medicine,0.0,10.1515/labmed-2021-0114,"Electronic tools in clinical laboratory diagnostics can assist laboratory professionals, clinicians, and patients in medical diagnostic management and laboratory test interpretation. With increasing implementation of electronic health records (EHRs) and laboratory information systems worldwide, there is increasing demand for well-designed and evidence-based electronic resources. Both complex data-driven and simple interpretative electronic healthcare tools are currently available to improve the integration of clinical and laboratory information towards a more patient-centered approach to medicine. Several studies have reported positive clinical impact of electronic healthcare tool implementation in clinical laboratory diagnostics, including in the management of neonatal bilirubinemia, cardiac disease, and nutritional status. As patients have increasing access to their medical laboratory data, it is essential that accessible electronic healthcare tools are evidence-based and user-friendly for individuals of varying digital and medical literacy. Indeed, studies suggest electronic healthcare tool development processes significantly lack the involvement of relevant healthcare professionals and often present misinformation, including erroneous calculation algorithms or inappropriate interpretative recommendations. The current review provides an overview of the utility of available electronic healthcare tools in clinical laboratory diagnostics and critically reviews potential limitations and benefits of their clinical implementation. The Canadian Laboratory Initiative on Pediatric Reference Intervals (CALIPER) online database is also detailed as an example of a pediatric diagnostic tool with widespread global impact.  © 2021 Mary Kathryn Bohn et al., published by De Gruyter, Berlin/Boston.",electronic health records; electronic laboratory diagnostic tools; patient-centered medicine,clinical laboratory; clinician; diagnosis; electronic health record; human; laboratory test; patient attitude; physician attitude; reference value; Review,Walter de Gruyter GmbH,,,,Review,Final,All Open Access; Gold Open Access
61,Bishay A.E.; Hughes N.C.; Zargari M.; Paulo D.L.; Bishay S.; Lyons A.T.; Morkos M.N.; Ball T.J.; Englot D.J.; Bick S.K.,Disparities in Access to Deep Brain Stimulation for Parkinson's Disease and Proposed Interventions: A Literature Review,2024,Stereotactic and Functional Neurosurgery,0.0,10.1159/000538748,"Background: Deep brain stimulation (DBS) is an effective therapy for Parkinson's disease (PD), but disparities exist in access to DBS along gender, racial, and socioeconomic lines. Summary: Women are underrepresented in clinical trials and less likely to undergo DBS compared to their male counterparts. Racial and ethnic minorities are also less likely to undergo DBS procedures, even when controlling for disease severity and other demographic factors. These disparities can have significant impacts on patients' access to care, quality of life, and ability to manage their debilitating movement disorders. Key Messages: Addressing these disparities requires increasing patient awareness and education, minimizing barriers to equitable access, and implementing diversity and inclusion initiatives within the healthcare system. In this systematic review, we first review literature discussing gender, racial, and socioeconomic disparities in DBS access and then propose several patient, provider, community, and national-level interventions to improve DBS access for all populations. © 2024 The Author(s). Published by S. Karger AG, Basel.",Deep brain stimulation; Disparities; Ethnicity; Gender; Minorities; Socioeconomic status,Deep Brain Stimulation; Female; Health Services Accessibility; Healthcare Disparities; Humans; Male; Parkinson Disease; Socioeconomic Factors; African American; age; American Indian; anxiety; Asian; Black person; brain depth stimulation; Caucasian; community care; cultural bias; doctor patient relationship; economic inequality; gender inequality; health care access; health care disparity; health care policy; health care utilization; health education; health literacy; help seeking behavior; Hispanic; human; medicaid; Oceanic ancestry group; Parkinson disease; patient referral; racial disparity; racism; Review; social status; systematic review; treatment response; tremor; female; male; Parkinson disease; procedures; socioeconomics; therapy,S. Karger AG,,,,Review,Final,All Open Access; Hybrid Gold Open Access
62,Machorro-Cano I.; Olmedo-Aguirre J.O.; Alor-Hernández G.; Rodríguez-Mazahua L.; Sánchez-Morales L.N.; Pérez-Castro N.,Cloud-Based Platforms for Health Monitoring: A Review,2024,Informatics,0.0,10.3390/informatics11010002,"Cloud-based platforms have gained popularity over the years because they can be used for multiple purposes, from synchronizing contact information to storing and managing user fitness data. These platforms are still in constant development and, so far, most of the data they store is entered manually by users. However, more and better wearable devices are being developed that can synchronize with these platforms to feed the information automatically. Another aspect that highlights the link between wearable devices and cloud-based health platforms is the improvement in which the symptomatology and/or physical status information of users can be stored and syn-chronized in real-time, 24 h a day, in health platforms, which in turn enables the possibility of synchronizing these platforms with specialized medical software to promptly detect important variations in user symptoms. This is opening opportunities to use these platforms as support for monitoring disease symptoms and, in general, for monitoring the health of users. In this work, the characteristics and possibilities of use of four popular platforms currently available in the market are explored, which are Apple Health, Google Fit, Samsung Health, and Fitbit. © 2023 by the authors.",cloud-based platforms; data types; healthcare; interoperability and automation; monitoring,,Multidisciplinary Digital Publishing Institute (MDPI),,,,Review,Final,All Open Access; Gold Open Access
63,Strasberg H.R.; Jackson G.P.; Bakken S.R.; Boxwala A.; Richardson J.E.; Morrow J.D.,Perspectives on the role of industry in informatics research and authorship,2024,Journal of the American Medical Informatics Association,0.0,10.1093/jamia/ocae063,"Objectives: Advances in informatics research come from academic, nonprofit, and for-profit industry organizations, and from academic-industry partnerships. While scientific studies of commercial products may offer critical lessons for the field, manuscripts authored by industry scientists are sometimes categorically rejected. We review historical context, community perceptions, and guidelines on informatics authorship.; Process: We convened an expert panel at the American Medical Informatics Association 2022 Annual Symposium to explore the role of industry in informatics research and authorship with community input. The panel summarized session themes and prepared recommendations.; Conclusions: Authorship for informatics research, regardless of affiliation, should be determined by International Committee of Medical Journal Editors uniform requirements for authorship. All authors meeting criteria should be included, and categorical rejection based on author affiliation is unethical. Informatics research should be evaluated based on its scientific rigor; all sources of bias and conflicts of interest should be addressed through disclosure and, when possible, methodological mitigation. # The Author(s) 2024. Published by Oxford University Press on behalf of the American Medical Informatics Association.",authorship; conflict of interest; health care sector; informatics; publication bias,Authorship; Bias; Biomedical Research; Disclosure; Informatics; community; historical research; human; industry; information science; medical informatics; medical research; practice guideline; Review; writing; information science; interpersonal communication; statistical bias,Oxford University Press,,,,Review,Final,
64,Loftus T.J.; Balch J.A.; Marquard J.L.; Ray J.M.; Alper B.S.; Ojha N.; Bihorac A.; Melton-Meaux G.; Khanna G.; Tignanelli C.J.,Longitudinal clinical decision support for assessing decisions over time: State-of-the-art and future directions,2024,Digital Health,0.0,10.1177/20552076241249925,"Objective: Patients and clinicians rarely experience healthcare decisions as snapshots in time, but clinical decision support (CDS) systems often represent decisions as snapshots. This scoping review systematically maps challenges and facilitators to longitudinal CDS that are applied at two or more timepoints for the same decision made by the same patient or clinician. Methods: We searched Embase, PubMed, and Medline databases for articles describing development, validation, or implementation of patient- or clinician-facing longitudinal CDS. Validated quality assessment tools were used for article selection. Challenges and facilitators to longitudinal CDS are reported according to PRISMA-ScR guidelines. Results: Eight articles met inclusion criteria; each article described a unique CDS. None used entirely automated data entry, none used living guidelines for updating the evidence base or knowledge engine as new evidence emerged during the longitudinal study, and one included formal readiness for change assessments. Seven of eight CDS were implemented and evaluated prospectively. Challenges were primarily related to suboptimal study design (with unique challenges for each study) or user interface. Facilitators included use of randomized trial designs for prospective enrollment, increased CDS uptake during longitudinal exposure, and machine-learning applications that are tailored to the CDS use case. Conclusions: Despite the intuitive advantages of representing healthcare decisions longitudinally, peer-reviewed literature on longitudinal CDS is sparse. Existing reports suggest opportunities to incorporate longitudinal CDS frameworks, automated data entry, living guidelines, and user readiness assessments. Generating best practice guidelines for longitudinal CDS would require a greater depth and breadth of published work and expert opinion. © The Author(s) 2024.",CDS; CDSS; evolve; healthcare; Shared decision-making,,SAGE Publications Inc.,,,,Review,Final,
65,Tabari P.; Costagliola G.; De Rosa M.; Boeker M.,State-of-the-Art Fast Healthcare Interoperability Resources (FHIR)–Based Data Model and Structure Implementations: Systematic Scoping Review,2024,JMIR Medical Informatics,0.0,10.2196/58445,"Background: Data models are crucial for clinical research as they enable researchers to fully use the vast amount of clinical data stored in medical systems. Standardized data and well-defined relationships between data points are necessary to guarantee semantic interoperability. Using the Fast Healthcare Interoperability Resources (FHIR) standard for clinical data representation would be a practical methodology to enhance and accelerate interoperability and data availability for research. Objective: This research aims to provide a comprehensive overview of the state-of-the-art and current landscape in FHIR-based data models and structures. In addition, we intend to identify and discuss the tools, resources, limitations, and other critical aspects mentioned in the selected research papers. Methods: To ensure the extraction of reliable results, we followed the instructions of the PRISMA-ScR (Preferred Reporting Items for Systematic Reviews and Meta-Analyses extension for Scoping Reviews) checklist. We analyzed the indexed articles in PubMed, Scopus, Web of Science, IEEE Xplore, the ACM Digital Library, and Google Scholar. After identifying, extracting, and assessing the quality and relevance of the articles, we synthesized the extracted data to identify common patterns, themes, and variations in the use of FHIR-based data models and structures across different studies. Results: On the basis of the reviewed articles, we could identify 2 main themes: dynamic (pipeline-based) and static data models. The articles were also categorized into health care use cases, including chronic diseases, COVID-19 and infectious diseases, cancer research, acute or intensive care, random and general medical notes, and other conditions. Furthermore, we summarized the important or common tools and approaches of the selected papers. These items included FHIR-based tools and frameworks, machine learning approaches, and data storage and security. The most common resource was “Observation” followed by “Condition” and “Patient.” The limitations and challenges of developing data models were categorized based on the issues of data integration, interoperability, standardization, performance, and scalability or generalizability. Conclusions: FHIR serves as a highly promising interoperability standard for developing real-world health care apps. The implementation of FHIR modeling for electronic health record data facilitates the integration, transmission, and analysis of data while also advancing translational research and phenotyping. Generally, FHIR-based exports of local data repositories improve data interoperability for systems and data warehouses across different settings. However, ongoing efforts to address existing limitations and challenges are essential for the successful implementation and integration of FHIR data models. ©Parinaz Tabari, Gennaro Costagliola, Mattia De Rosa, Martin Boeker.",data model; Fast Healthcare Interoperability Resources; FHIR; interoperability; modeling; PRISMA,,JMIR Publications Inc.,,,,Review,Final,All Open Access; Gold Open Access
66,Born C.; Schwarz R.; Bottcher T.P.; Hein A.; Krcmar H.,The role of information systems in emergency department decision-making—a literature review,2024,Journal of the American Medical Informatics Association,0.0,10.1093/jamia/ocae096,"Objectives: Healthcare providers employ heuristic and analytical decision-making to navigate the high-stakes environment of the emergency department (ED). Despite the increasing integration of information systems (ISs), research on their efficacy is conflicting. Drawing on related fields, we investigate how timing and mode of delivery influence IS effectiveness. Our objective is to reconcile previous contradictory findings, shedding light on optimal IS design in the ED. Materials and methods: We conducted a systematic review following PRISMA across PubMed, Scopus, and Web of Science. We coded the ISs’ timing as heuristic or analytical, their mode of delivery as active for automatic alerts and passive when requiring user-initiated information retrieval, and their effect on process, economic, and clinical outcomes. Results: Our analysis included 83 studies. During early heuristic decision-making, most active interventions were ineffective, while passive interventions generally improved outcomes. In the analytical phase, the effects were reversed. Passive interventions that facilitate information extraction consistently improved outcomes. Discussion: Our findings suggest that the effectiveness of active interventions negatively correlates with the amount of information received during delivery. During early heuristic decision-making, when information overload is high, physicians are unresponsive to alerts and proactively consult passive resources. In the later analytical phases, physicians show increased receptivity to alerts due to decreased diagnostic uncertainty and information quantity. Interventions that limit information lead to positive outcomes, supporting our interpretation. Conclusion: We synthesize our findings into an integrated model that reveals the underlying reasons for conflicting findings from previous reviews and can guide practitioners in designing ISs in the ED. © The Author(s) 2024. Published by Oxford University Press on behalf of the American Medical Informatics Association.",clinical decision support systems; clinical decision-making; computer-assisted decision-making; emergency medical services; information overload; information systems,"Clinical Decision-Making; Decision Support Systems, Clinical; Emergency Service, Hospital; Heuristics; Hospital Information Systems; Humans; clinical decision making; clinical decision support system; clinical outcome; computer heuristics; data extraction; diagnostic imaging; dose calculation; emergency ward; framing bias; health care access; hospital admission; hospital discharge; human; information processing; information system; medical history; Review; standardization; systematic review; clinical decision making; clinical decision support system; heuristics; hospital emergency service; hospital information system",Oxford University Press,,,,Review,Final,All Open Access; Hybrid Gold Open Access
67,"Armoundas A.A.; Ahmad F.S.; Bennett D.A.; Chung M.K.; Davis L.L.; Dunn J.; Narayan S.M.; Slotwiner D.J.; Wiley K.K., Jr.; Khera R.",Data Interoperability for Ambulatory Monitoring of Cardiovascular Disease: A Scientific Statement From the American Heart Association,2024,Circulation: Genomic and Precision Medicine,0.0,10.1161/HCG.0000000000000095,"Wearable devices are increasingly used by a growing portion of the population to track health and illnesses. The data emerging from these devices can potentially transform health care. This requires an interoperability framework that enables the deployment of platforms, sensors, devices, and software applications within diverse health systems, aiming to facilitate innovation in preventing and treating cardiovascular disease. However, the current data ecosystem includes several noninteroperable systems that inhibit such objectives. The design of clinically meaningful systems for accessing and incorporating these data into clinical workflows requires strategies to ensure the quality of data and clinical content and patient and caregiver accessibility. This scientific statement aims to address the best practices, gaps, and challenges pertaining to data interoperability in this area, with considerations for (1) data integration and the scope of measures, (2) application of these data into clinical approaches/strategies, and (3) regulatory/ethical/legal issues. © 2024 American Heart Association, Inc.",AHA Scientific Statements; ambulatory care; cardiovascular diseases; electronic health records; International Classification of Diseases; wearable electronic devices,"American Heart Association; Cardiovascular Diseases; Health Information Interoperability; Humans; Monitoring, Ambulatory; United States; Wearable Electronic Devices; ambulatory care; ambulatory monitoring; best practice; cardiovascular disease; caregiver; data integration; data interoperability; electronic health record; human; International Classification of Diseases; medical society; review; therapy; wearable computer; wearable device; workflow; data interoperability; diagnosis; procedures; United States; wearable computer",Lippincott Williams and Wilkins,,,,Review,Final,
68,Najafi A.; Emami N.; Samad-Soltani T.,Integration of genomics data and electronic health records toward personalized medicine: A targeted review,2021,Frontiers in Health Informatics,1.0,10.30699/fhi.v10i1.299,"Introduction: Integration of rapidly expanding high-throughput omics technologies and electronic health record (EHR) has created an unprecedented advantage in terms of acquiring routine healthcare data to accelerate genetic discovery. In this regard, EHR can also provide several important advantages to omics research if the integration challenges are well handled. The main purpose of the present study was to review available and published knowledge in the related literature and then to classify and discuss stakeholders’ requirements in this domain. Material and Methods: At first, a broad electronic search of all available literature in English was conducted on the topic through a search in the databases of Medline, Web of Science, Institute of Electrical and Electronics Engineers (IEEE), Scopus, and Cochrane. Then, stakeholders’ requirements were tabulated, and finally, a word cloud was generated and analyzed to achieve functional and non-functional cases. Results: A total of 81 articles were included in the given analysis. Integration requirements also consisted of nine functional cases including a uniform approach to the interpretation of genetic tests, standardized terminologies and ontologies, structured data entry as much as possible, an integrated online patient portal, multiple data source handling, machine-readable storing and reporting, research-oriented requirements, pharmacogenomics decision support capabilities, and phenotyping algorithms and knowledge base. Besides, there were three non-functional cases comprised of interoperability of multiple systems, ethical, legal, security factor, and big data computations. Conclusion: The main challenges in this way could also have semantic and technical themes. Therefore, system developers could guarantee the success of systems by overcoming the given challenges. © 2021, Published by Frontiers in Health Informatics.",Electronic Record; Genetics; Personalized; Pharmacogenomics; Precision,,Iranian Medical Informatics Association (IrMIA),,,,Review,Final,All Open Access; Gold Open Access
69,Anand G.; Sadhna D.,Electronic health record interoperability using FHIR and blockchain: A bibliometric analysis and future perspective,2023,Perspectives in Clinical Research,1.0,10.4103/picr.picr_272_22,"Electronic health records (EHRs) constitute vital statistics, current health condition, ongoing therapies, and patient data; hence, their interoperability could be useful for epidemiologic and clinical research. Fast Healthcare Interoperability Resources (FHIR) and blockchain are currently “in-use” and tested for exchange of such data. The annual scientific production of publications for both FHIR and blockchain shows steady growth. The data interoperability and electronic data interchange have been introduced in the field of EHR in 2020, hence inferring that data interoperability is relatively a new domain. The thematic mapping suggested “interoperability” of EHR is well-developed and important for the structure of the research field. © 2023 Perspectives in Clinical Research | Published by Wolters Kluwer - Medknow.",Data extraction; electronic health records; healthcare; interoperability,bibliometrics; blockchain; data analysis; data interoperability; electronic data interchange; electronic health record; Fast Healthcare Interoperability Resources; intersectoral collaboration; quantitative analysis; Review; United States,Wolters Kluwer Medknow Publications,,,,Review,Final,All Open Access; Gold Open Access
70,MacHeka S.; Ng P.Y.; Ginsburg O.; Hope A.; Sullivan R.; Aggarwal A.,Prospective evaluation of artificial intelligence (AI) applications for use in cancer pathways following diagnosis: a systematic review,2024,BMJ Oncology,1.0,10.1136/bmjonc-2023-000255,"The role of artificial intelligence (AI) in cancer care has evolved in the face of ageing population, workforce shortages and technological advancement. Despite recent uptake in AI research and adoption, the extent to which it improves quality, efficiency and equity of care beyond cancer diagnostics is uncertain to date. Henceforth, the objective of our systematic review is to assess the clinical readiness and deployability of AI through evaluation of prospective studies of AI in cancer care following diagnosis. We undertook a systematic review to determine the types of AI involved and their respective outcomes. A PubMed and Web of Science search between 1 January 2013 and 1 May 2023 identified 15 articles detailing prospective evaluation of AI in postdiagnostic cancer pathway. We appraised all studies using Risk of Bias Assessment of Randomised Controlled Trials and Risk of Bias In Non-randomised Studies-of Interventions quality assessment tools, as well as implementational analysis concerning time, cost and resource, to ascertain the quality of clinical evidence and real-world feasibility of AI. The results revealed that the majority of AI oncological research remained experimental without prospective clinical validation or deployment. Most studies failed to establish clinical validity and to translate measured AI efficacy into beneficial clinical outcomes. AI research are limited by lack of research standardisation and health system interoperability. Furthermore, implementational analysis and equity considerations of AI were largely missing. To overcome the triad of low-level clinical evidence, efficacy-outcome gap and incompatible research ecosystem for AI, future work should focus on multicollaborative AI implementation research designed and conducted in accordance with up-to-date research standards and local health systems.  © 2024 The Author(s).",chemotherapy; palliative care; radiation oncology; surgical oncology,,BMJ Publishing Group,,,,Review,Final,All Open Access; Gold Open Access
71,Gazzarata R.; Almeida J.; Lindsköld L.; Cangioli G.; Gaeta E.; Fico G.; Chronaki C.E.,HL7 Fast Healthcare Interoperability Resources (HL7 FHIR) in digital healthcare ecosystems for chronic disease management: Scoping review,2024,International Journal of Medical Informatics,1.0,10.1016/j.ijmedinf.2024.105507,"Background: The prevalence of chronic diseases has shifted the burden of disease from incidental acute inpatient admissions to long-term coordinated care across healthcare institutions and the patient's home. Digital healthcare ecosystems emerge to target increasing healthcare costs and invest in standard Application Programming Interfaces (API), such as HL7 Fast Healthcare Interoperability Resources (HL7 FHIR) for trusted data flows. Objectives: This scoping review assessed the role and impact of HL7 FHIR and associated Implementation Guides (IGs) in digital healthcare ecosystems focusing on chronic disease management. Methods: To study trends and developments relevant to HL7 FHIR, a scoping review of the scientific and gray English literature from 2017 to 2023 was used. Results: The selection of 93 of 524 scientific papers reviewed in English indicates that the popularity of HL7 FHIR as a robust technical interface standard for the health sector has been steadily rising since its inception in 2010, reaching a peak in 2021. Digital Health applications use HL7 FHIR in cancer (45 %), cardiovascular disease (CVD) (more than 15 %), and diabetes (almost 15 %). The scoping review revealed that references to HL7 FHIR IGs are limited to ∼ 20 % of articles reviewed. HL7 FHIR R4 was most frequently referenced when the HL7 FHIR version was mentioned. In HL7 FHIR IGs registries and the internet, we found 35 HL7 FHIR IGs addressing chronic disease management, i.e., cancer (40 %), chronic disease management (25 %), and diabetes (20 %). HL7 FHIR IGs frequently complement the information in the article. Conclusions: HL7 FHIR matures with each revision of the standard as HL7 FHIR IGs are developed with validated data sets, common shared HL7 FHIR resources, and supporting tools. Referencing HL7 FHIR IGs cataloged in official registries and in scientific publications is recommended to advance data quality and facilitate mutual learning in growing digital healthcare ecosystems that nurture interoperability in digital health innovation. © 2024 The Authors",Chronic diseases; Digital healthcare ecosystems; Digital transformation; HL7 FHIR Implementation Guide; Interoperability standards; Living environments,Chronic Disease; Disease Management; Health Information Interoperability; Health Level Seven; Humans; Application programming interfaces (API); Diseases; Ecosystems; Health care; Chronic disease; Chronic disease management; Digital healthcare ecosystem; Digital transformation; Healthcare Interoperability; HL7 fast healthcare interoperability resource implementation guide; Implementation guides; Interoperability standard; Living environment; Scoping review; breast cancer; cancer research; cardiovascular disease; chronic disease; chronic lung disease; colorectal cancer; data interoperability; dementia; diabetes mellitus; Fast Healthcare Interoperability Resources; grey literature; health care system; human; Internet; kidney disease; malignant neoplasm; multiple chronic conditions; ovary cancer; Parkinson disease; patient registry; Preferred Reporting Items for Systematic Reviews and Meta-Analyses; Review; scientific literature; systematic review; uterine cervix cancer; chronic disease; data interoperability; disease management; health level 7; therapy; Interoperability,Elsevier Ireland Ltd,,,,Review,Final,All Open Access; Hybrid Gold Open Access
72,Krumm N.; Shirts B.H.,"Technical, Biological, and Systems Barriers for Molecular Clinical Decision Support",2019,Clinics in Laboratory Medicine,2.0,10.1016/j.cll.2019.01.007,"Genome-enabled or molecular clinical decision support (CDS)systems provide unique advantages for the clinical use of genomic data; however, their implementation is complicated by technical, biological, and systemic barriers. This article reviews the substantial technical progress that has been made in the past decade and finds that the underlying biological limitations of genomics as well as systemic barriers to adoption of molecular CDS have been comparatively underestimated. A hybrid consultative CDS system, which integrates a genomics consultant into an active CDS system, may provide an interim path forward. © 2019 Elsevier Inc.",Clinical decision support; Electronic health record; Genomics; Molecular pathology,"Decision Support Systems, Clinical; Electronic Health Records; Genomics; Humans; automation; clinical decision support system; clinical protocol; cost; evidence based medicine; genetic variation; genomics; haplotype; high throughput sequencing; human; information storage; medical care; medical technology; molecular pathology; priority journal; reimbursement; Review; electronic health record; genomics",W.B. Saunders,,,,Review,Final,
73,Sayeed R.; Jones J.; Gottlieb D.; Mandel J.C.; Mandl K.D.,A proposal for shoring up Federal Trade Commission protections for electronic health record-connected consumer apps under 21st Century Cures,2021,Journal of the American Medical Informatics Association,2.0,10.1093/jamia/ocaa227,"Under the 21st Century Cures Act and the Office of the National Coordinator for Health Information Technology (ONC) rule implementing its interoperability provisions, a patient's rights to easily request and obtain digital access to portions of their medical records are now supported by both technology and policy. Data, once directed by a patient to leave a Health Insurance Portability and Accountability Act-covered health entity and enter a consumer app, will usually fall under Federal Trade Commission oversight. Because the statutory authority of the ONC does not extend to health data protection, there is not yet regulation to specifically address privacy protections for consumer apps. A technologically feasible workflow that could be widely adopted and permissible under ONC's rule, involves using the SMART on FHIR OAuth authorization routine to present standardized information about app behavior. This approach would not bias the patient in a way that triggers penalties under information blocking provisions of the rule.  © 2020 The Author(s) 2020. Published by Oxford University Press on behalf of the American Medical Informatics Association.",applications; health information system; medical informatics; patient data privacy,Confidentiality; Consumer Product Safety; Electronic Health Records; Humans; Odds Ratio; Privacy; Software; United States; United States Federal Trade Commission; adult; consumer; electronic health record; health insurance; human; medical informatics; medical information system; medical record; privacy; punishment; review; workflow; confidentiality; electronic health record; government; legislation and jurisprudence; odds ratio; privacy; product safety; software; United States,Oxford University Press,,,,Review,Final,All Open Access; Green Open Access; Hybrid Gold Open Access
74,Unertl K.M.; Abraham J.; Bakken S.,Building on diana forsythe's legacy: The value of human experience and context in biomedical and health informatics,2021,Journal of the American Medical Informatics Association,2.0,10.1093/jamia/ocaa337,[No abstract available],,"Anthropology, Cultural; Bibliography of Medicine; Feminism; History, 20th Century; History, 21st Century; Humans; Medical Informatics; United States; bioinformatics; experience; human; medical informatics; Review; cultural anthropology; feminism; history; medical informatics; publication; United States",Oxford University Press,,,,Review,Final,All Open Access; Bronze Open Access; Green Open Access
75,Rubinstein S.M.; Sethi T.; Venepalli N.K.; Gyawali B.; Schwartz C.; Rivera D.R.; Yang P.C.; Warner J.L.,Chemotherapy Knowledge Base Management in the Era of Precision Oncology,2021,JCO Clinical Cancer Informatics,2.0,10.1200/CCI.20.00076,"Cancer medicine has grown increasingly complex in recent years with the advent of precision oncology and wide utilization of multidrug regimens. Representing this increasingly granular knowledge is a significant challenge. As users and managers of a freely available chemotherapy drug and regimen database, we describe the changes we have made to accommodate these challenges. These include the development of a domain ontology and increased granularity in the classification of cancer types on the website. © 2021 by American Society of Clinical Oncology.",,Antineoplastic Agents; Humans; Knowledge Bases; Medical Oncology; Neoplasms; Precision Medicine; immune checkpoint inhibitor; antineoplastic agent; cancer chemotherapy; human; knowledge base; oncology; ontology; personalized medicine; Review; neoplasm; oncology; personalized medicine,Lippincott Williams and Wilkins,,,,Review,Final,All Open Access; Bronze Open Access
76,Chukwu E.; Garg L.; Obande-Ogbuinya N.; Chattu V.K.,"Standardizing Primary Health Care Referral Data Sets in Nigeria: Practitioners' Survey, Form Reviews, and Profiling of Fast Healthcare Interoperability Resources (FHIR)",2022,JMIR Formative Research,2.0,10.2196/28510,"Background: Referral linkages are crucial for efficient functioning of primary health care (PHC) systems. Fast Healthcare Interoperability Resource (FHIR) is an open global standard that facilitates structuring of health information for coordinated exchange among stakeholders. Objective: The objective of this study is to design FHIR profiles and present methodology and the profiled FHIR resource for Maternal and Child Health referral use cases in Ebonyi state, Nigeria-a typical low- and middle-income country (LMIC) setting. Methods: Practicing doctors, midwives, and nurses were purposefully sampled and surveyed. Different referral forms were reviewed. The union of data sets from surveys and forms was aggregated and mapped to base patient FHIR resource elements, and extensions were created for data sets not in the core FHIR specification. This study also introduced FHIR and its relation to the World Health Organization's (WHO's) International Classification of Diseases. Results: We found many different data elements from the referral forms and survey responses even in urban settings. The resulting FHIR standard profile is published on GitHub for adaptation or adoption as necessary to aid alignment with WHO recommendations. Understanding data sets used in health care and clinical practice for information sharing is crucial in properly standardizing information sharing, particularly during the management of COVID-19 and other infectious diseases. Development organizations and governments can use this methodology and profile to fast-track FHIR standards adoption for paper and electronic information sharing at PHC systems in LMICs. Conclusions: We presented our methodology for profiling the referral resource crucial for the standardized exchange of new and expectant moms' information. Using data from frontline providers and mapping to the FHIR profile helped contextualize the standardized profile. © Emeka Chukwu, Lalit Garg, Nkiruka Obande-Ogbuinya, Vijay Kumar Chattu. Originally published in JMIR Formative Research (https://formative.jmir.org), 07.07.2022.",BlockMom; COVID-19; digital health; eHealth; FHIR; health information; health information exchange; interoperability; mHealth; Nigeria; primary health care,,JMIR Publications Inc.,,,,Review,Final,All Open Access; Gold Open Access
77,"Morais D.F.T.; Fernandes G., Jr.; Lima G.D.; Rodrigues J.J.P.C.",IoT-Based Wearable and Smart Health Device Solutions for Capnography: Analysis and Perspectives,2023,Electronics (Switzerland),2.0,10.3390/electronics12051169,"The potential of the Internet of Health Things (IoHT), also identified in the literature as the Internet of Medical Things (IoMT), is enormous, since it can generate expressive impacts on healthcare devices, such as the capnograph. When applied to mechanical ventilation, it provides essential healthcare to the patient and helps save lives. This survey elaborates on a deep review of related literature about the most robust and effective innovative healthcare solutions using modern technologies, such as the Internet of Things (IoT), cloud computing, Blynk, Bluetooth Low Energy, Robotics, and embedded systems. It emphasizes that IoT-based wearable and smart devices that work as integrated systems can be a faster response to other pandemic crises, respiratory diseases, and other problems that may occur in the future. It may also extend the performance of e-Health platforms used as monitoring systems. Therefore, this paper considers the state of the art to substantiate research about sensors, highlighting the relevance of new studies, strategies, approaches, and novelties in the field. © 2023 by the authors.",artificial intelligence; capnography; healthcare; Internet of Things; mechanical ventilation; monitoring; wearables,,MDPI,,,,Review,Final,All Open Access; Gold Open Access
