Authors,Author full names,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Abstract,Author Keywords,Index Keywords,Funding Texts,Correspondence Address,Publisher,Sponsors,Conference name,Conference date,Conference location,Conference code,ISSN,ISBN,CODEN,PubMed ID,Language of Original Document,Document Type,Publication Stage,Open Access,Source,EID
Odisho A.Y.; Lui H.; Yerramsetty R.; Bautista F.; Gleason N.; Martin E.; Young J.J.; Blum M.; Neinstein A.B.,"Odisho, Anobel Y. (15021115300); Lui, Hansen (57217371200); Yerramsetty, Ramakrishna (57221054348); Bautista, Felicisimo (57221045295); Gleason, Nathaniel (56201358500); Martin, Edwin (57221050290); Young, Jerry J. (57219274424); Blum, Michael (15622763100); Neinstein, Aaron B. (6505497256)",15021115300; 57217371200; 57221054348; 57221045295; 56201358500; 57221050290; 57219274424; 15622763100; 6505497256,"Design and development of referrals automation, a SMART on FHIR solution to improve patient access to specialty care",2020,JAMIA Open,3,3,,405,412,7.0,8.0,10.1093/jamiaopen/ooaa036,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85098047643&doi=10.1093%2fjamiaopen%2fooaa036&partnerID=40&md5=fa2bc909d71af35cb066e2f930abccc9,"Background: Referring patients to specialty care is an inefficient and error-prone process. Gaps in the referral process lead to delays in patients’ access to care, negative patient experience, worse health outcomes, and increased operational costs. While implementation of standards-based electronic referral options can alleviate some of these inefficiencies, many referrals to tertiary and quaternary care centers continue to be sent via fax. Objective: We describe the design process and architecture for a software application that has been developed and deployed to optimize the referrals intake process by automating the processing and digitization of incoming specialty referral faxes, extracting key data elements and integrating them into the electronic health record (EHR), and organizing referrals. Methods: A human-centered design approach was used to identify and describe the inefficiencies in the external referral process at our large, urban tertiary care center. Referrals Automation, an application to convert referral faxes to digital referrals in the EHR, was conceptualized based on key stakeholder interviews and time and motion studies. This application was designed using Substitutable Medical Applications and Reusable Technologies (SMART) and Fast Healthcare Interoperability Resource (FHIR) platforms to allow for adaptability into other healthcare organizations. Results: Referrals Automation software was developed as a healthcare information technology solution to streamline the fax to referral process. The application was implemented into several specialty clinics. Metrics were built-in to the applications to evaluate and guide the further iteration of these features. Conclusions: Referrals Automation will enhance the referrals process by further streamlining and organizing the patient referral process. © The Author(s) 2020.",Access to care; Application programming interface; HL7 FHIR; Referral; User-centered design,adult; article; automation; electronic health record; Fast Healthcare Interoperability Resources; health care organization; human; information technology; interview; software; task performance; tertiary care center; universal design,"The development, design, and evaluation of Referrals Automation was funded by the UCSF Center for Digital Health Innovation.","A.B. Neinstein; Center for Digital Health Innovation, University of California, San Francisco, San Francisco, 1700 Owens St., Suite 541, 94158, United States; email: aaron.neinstein@ucsf.edu",Oxford University Press,,,,,,25742531,,,,English,Article,Final,All Open Access; Gold Open Access,Scopus,2-s2.0-85098047643
Daumke P.; Heitmann K.U.; Heckmann S.; Martínez-Costa C.; Schulz S.,"Daumke, Philipp (23392171100); Heitmann, Kai U. (7004112642); Heckmann, Simone (57210792982); Martínez-Costa, Catalina (24399477800); Schulz, Stefan (57189519350)",23392171100; 7004112642; 57210792982; 24399477800; 57189519350,Clinical text mining on FHIR,2019,Studies in Health Technology and Informatics,264,,,83,87,4.0,14.0,10.3233/SHTI190188,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85071492318&doi=10.3233%2fSHTI190188&partnerID=40&md5=639fcb8221e7b4689e2f58bdac5dafe8,"Semantic standards and human language technologies are key enablers for semantic interoperability across heterogeneous document and data collections in clinical information systems. Data provenance is awarded increasing attention, and it is especially critical where clinical data are automatically extracted from original documents, e.g. by text mining. This paper demonstrates how the output of a commercial clinical text-mining tool can be harmonised with FHIR, the leading clinical information model standard. Character ranges that indicate the origin of an annotation and machine generates confidence values were identified as crucial elements of data provenance in order to enrich text-mining results. We have specified and requested necessary extensions to the FHIR standard and demonstrated how, as a result, important metadata describing processes generating FHIR instances from clinical narratives can be embedded. © 2019 International Medical Informatics Association (IMIA) and IOS Press. This article is published online with Open Access by IOS Press and distributed under the terms of the Creative Commons Attribution Non-Commercial License 4.0 (CC BY-NC 4.0).",Electronic Health Records; Natural Language Processing; Semantics,Data Mining; Delivery of Health Care; Electronic Health Records; Humans; Metadata; Semantics; Health; Interoperability; Medical informatics; Medical information systems; Natural language processing systems; Semantics; Clinical information; Clinical information system; Confidence values; Electronic health record; Heterogeneous documents; Human language technologies; NAtural language processing; Semantic interoperability; conference paper; electronic health record; human; human experiment; information model; metadata; mining; narrative; natural language processing; semantics; data mining; health care delivery; semantics; Data mining,The consortia SMITH and MIRACUM are funded by the German Federal Ministry of Education and Research (BMBF) within the Medical Informatics Funding Scheme (FKZ 1ZZ1606A and 01ZZ1609A).,"P. Daumke; Averbis GmbH, Freiburg, Salzstraße 15, 79098, Germany; email: info@averbis.com",IOS Press,,"17th World Congress on Medical and Health Informatics, MEDINFO 2019",25 August 2019 through 30 August 2019,Lyon,150814.0,09269630,978-164368002-6,,31437890.0,English,Conference paper,Final,,Scopus,2-s2.0-85071492318
Sayeed R.; Gottlieb D.; Mandl K.D.,"Sayeed, Raheel (57218243030); Gottlieb, Daniel (57215292681); Mandl, Kenneth D. (7003721828)",57218243030; 57215292681; 7003721828,SMART Markers: collecting patient-generated health data as a standardized property of health information technology,2020,npj Digital Medicine,3,1,9,,,,54.0,10.1038/s41746-020-0218-6,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85088414743&doi=10.1038%2fs41746-020-0218-6&partnerID=40&md5=081659c5ae66f66c5ccf0fb7c6d00014,"A patient-centered health system needs precise computable measurements to derive value. While validated patient-reported outcomes (PROs) are increasingly used in trials, their adoption in care remains limited and generally separated from the medical record. Further, absence of systematic processes for patient-led data submission excludes valuable data from digital devices that can potentially aid in contextualizing health status. With prior experience in developing apps for the Patient-Reported Outcomes Measurement Information System (PROMIS), we sought to make collecting patient-generated health data (PGHD) a fundamental property of health information technology at scale, and in an interoperable, standards-compliant fashion. We build upon the open SMART on FHIR (Fast Health Interoperability Resources) specification to create SMART Markers—a mobile device software framework encapsulating functionality needed for rapid deployment of both patient- and practitioner-facing PGHD apps. We refactored previously developed PROMIS apps to use SMART Markers for handling PGHD-request creation, on-device administration, and generation of a variety of PGHD types and submission of results to a FHIR server. Validation and conformance tests were performed on the generated output and app-reusability was demonstrated across two demo servers. App developers can import SMART Markers into their existing or new apps to readily leverage an interoperable PGHD capturing functionality out of the box, without having to reinvent the wheel. Our approach enables the creation of health system integrated, context-specific experiences for both patients and practitioners. © 2020, The Author(s).",,Computer programming; Digital devices; Health; Reusability; Data submission; Health data; Health informations; Health status; Health systems; Measurement information; Medical record; Patient-reported outcomes; Property; Systematic process; adult; article; human; information system; medical information; medical record; outcome assessment; patient-reported outcome; physician; software; Interoperability,,"K.D. Mandl; Computational Health Informatics Program, Boston Children’s Hospital, Boston, United States; email: kenneth_mandl@harvard.edu",Nature Research,,,,,,23986352,,,,English,Article,Final,All Open Access; Gold Open Access; Green Open Access,Scopus,2-s2.0-85088414743
van de Leur R.R.; Boonstra M.J.; Bagheri A.; Roudijk R.W.; Sammani A.; Taha K.; Doevendans P.A.F.M.; van der Harst P.; van Dam P.M.; Hassink R.J.; van Es R.; Asselbergs F.W.,"van de Leur, Rutger R. (57193727267); Boonstra, Machteld J. (57215543371); Bagheri, Ayoub (26431285300); Roudijk, Rob W. (55749066500); Sammani, Arjan (56532541800); Taha, Karim (57201131303); Doevendans, Pieter A.F.M. (7004918581); van der Harst, Pim (57217708796); van Dam, Peter M. (7005232048); Hassink, Rutger J. (55932696600); van Es, René (57201282245); Asselbergs, Folkert W. (57202567488)",57193727267; 57215543371; 26431285300; 55749066500; 56532541800; 57201131303; 7004918581; 57217708796; 7005232048; 55932696600; 57201282245; 57202567488,Big data and artificial intelligence: Opportunities and threats in electrophysiology,2020,Arrhythmia and Electrophysiology Review,9,3,,146,154,8.0,19.0,10.15420/AER.2020.26,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85098590622&doi=10.15420%2fAER.2020.26&partnerID=40&md5=3edf2a2851a5ddba95336199874ba1dd,"The combination of big data and artificial intelligence (AI) is having an increasing impact on the field of electrophysiology. Algorithms are created to improve the automated diagnosis of clinical ECGs or ambulatory rhythm devices. Furthermore, the use of AI during invasive electrophysiological studies or combining several diagnostic modalities into AI algorithms to aid diagnostics are being investigated. However, the clinical performance and applicability of created algorithms are yet unknown. In this narrative review, opportunities and threats of AI in the field of electrophysiology are described, mainly focusing on ECGs. Current opportunities are discussed with their potential clinical benefits as well as the challenges. Challenges in data acquisition, model performance, (external) validity, clinical implementation, algorithm interpretation as well as the ethical aspects of AI research are discussed. This article aims to guide clinicians in the evaluation of new AI applications for electrophysiology before their clinical implementation. © 2020 Radcliffe Group Ltd. All rights reserved.",Artificial intelligence; Big data; Cardiology; Deep learning; ECG; Electrophysiology; Neural networks,article; artificial intelligence; artificial neural network; big data; cardiology; deep learning; electrocardiogram; ethics; external validity; human; narrative; rhythm,"Disclosure: The authors have no conflicts of interest to declare. Funding: This study was partly supported by The Netherlands Organisation for Health Research and Development (ZonMw, grant number 104021004) and partly supported by the Netherlands Cardiovascular Research Initiative, an initiative with support of the Dutch Heart Foundation (grant numbers CVON2015-12 eDETECT and QRS-VISION 2018B007). FWA is supported by UCL Hospitals NIHR Biomedical Research Center. AS is supported by the UMC Utrecht Alexandre Suerman MD/PhD programme. Received: 8 June 2020 Accepted: 3 August 2020 Citation: Arrhythmia & Electrophysiology Review 2020;9(3):146–54. DOI: https://doi.org/10.15420/aer.2020.26 Correspondence: FW Asselbergs, Department of Cardiology, Division of Heart and Lungs, University Medical Center Utrecht, 3508 GA Utrecht, the Netherlands. E: f.w.asselbergs@umcutrecht.nl","F.W. Asselbergs; Department of Cardiology, Division of Heart and Lungs, University Medical Center Utrecht, Utrecht, 3508, Netherlands; email: f.w.asselbergs@umcutrecht.nl",Radcliffe Cardiology,,,,,,20503369,,,,English,Article,Final,All Open Access; Gold Open Access; Green Open Access,Scopus,2-s2.0-85098590622
Huang C.; Koppel R.; McGreevey J.D.; Craven C.K.; Schreiber R.,"Huang, Chunya (57219921974); Koppel, Ross (9279794500); McGreevey, John D. (6602427213); Craven, Catherine K. (8966714800); Schreiber, Richard (55249221900)",57219921974; 9279794500; 6602427213; 8966714800; 55249221900,"Transitions from One Electronic Health Record to Another: Challenges, Pitfalls, and Recommendations",2020,Applied Clinical Informatics,11,5,,742,754,12.0,36.0,10.1055/s-0040-1718535,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85096081594&doi=10.1055%2fs-0040-1718535&partnerID=40&md5=1a9a85eb6eb1ef192985be680c65f97f,"Objective We address the challenges of transitioning from one electronic health record (EHR) to another-a near ubiquitous phenomenon in health care. We offer mitigating strategies to reduce unintended consequences, maximize patient safety, and enhance health care delivery. Methods We searched PubMed and other sources to identify articles describing EHR-to-EHR transitions. We combined these references with the authors' extensive experience to construct a conceptual schema and to offer recommendations to facilitate transitions. Results Our PubMed query retrieved 1,351 citations: 43 were relevant for full paper review and 18 met the inclusion criterion of focus on EHR-to-EHR transitions. An additional PubMed search yielded 1,014 citations, for which we reviewed 74 full papers and included 5. We supplemented with additional citations for a total of 70 cited. We distinguished 10 domains in the literature that overlap yet present unique and salient opportunities for successful transitions and for problem mitigation. Discussion There is scant literature concerning EHR-to-EHR transitions. Identified challenges include financial burdens, personnel resources, patient safety threats from limited access to legacy records, data integrity during migration, cybersecurity, and semantic interoperability. Transition teams must overcome inadequate human infrastructure, technical challenges, security gaps, unrealistic providers' expectations, workflow changes, and insufficient training and support-all factors affecting potential clinician burnout. Conclusion EHR transitions are remarkably expensive, laborious, personnel devouring, and time consuming. The paucity of references in comparison to the topic's salience reinforces the necessity for this type of review and analysis. Prudent planning may streamline EHR transitions and reduce expenses. Mitigating strategies, such as preservation of legacy data, managing expectations, and hiring short-term specialty consultants can overcome some of the greatest hurdles. A new medical subject headings (MeSH) term for EHR transitions would facilitate further research on this topic. © 2020 American Institute of Physics Inc.. All rights reserved.",clinical governance; cybersecurity; data management; EHR migration; EHR transition; Electronic Health records,"Burnout, Professional; Electronic Health Records; Humans; PubMed; Workflow; burnout; electronic health record; human; Medline; workflow",,"R. Schreiber; Physician Informatics and Department of Medicine, Geisinger Holy Spirit, Geisinger Commonwealth School of Medicine, Camp Hill, Camp Hill, 431 North 21 Street, 17011, United States; email: rschreiber@pennstatehealth.psu.edu",Georg Thieme Verlag,,,,,,18690327,,,33176389.0,English,Article,Final,All Open Access; Bronze Open Access; Green Open Access,Scopus,2-s2.0-85096081594
Callahan A.; Shah N.H.; Chen J.H.,"Callahan, Alison (16548985200); Shah, Nigam H. (7401823709); Chen, Jonathan H. (57112911000)",16548985200; 7401823709; 57112911000,Research and reporting considerations for observational studies using electronic health record data,2020,Annals of Internal Medicine,172,11,,S79,S84,5.0,46.0,10.7326/M19-0873,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85085854091&doi=10.7326%2fM19-0873&partnerID=40&md5=52607c1fd4798052086f18ee0f98a13b,"Electronic health records (EHRs) are an increasingly important source of real-world health care data for observational research. Analyses of data collected for purposes other than research require careful consideration of data quality as well as the general research and reporting principles relevant to observational studies. The core principles for observational research in general also apply to observational research using EHR data, and these are well addressed in prior literature and guidelines. This article provides additional recommendations for EHR-based research. Considerations unique to EHR-based studies include assessment of the accuracy of computer-executable cohort definitions that can incorporate unstructured data from clinical notes and management of data challenges, such as irregular sampling, missingness, and variation across time and place. Principled application of existing research and reporting guidelines alongside these additional considerations will improve the quality of EHR-based observational studies. © 2020 American College of Physicians. All rights reserved.",,Data Collection; Electronic Health Records; Humans; Observational Studies as Topic; Primary Health Care; opiate; Article; diagnostic test; drug use; electronic health record; global health; human; practice guideline; primary medical care; electronic health record; information processing; observational study; primary health care,Financial Support: Drs. Callahan and Shah are supported by the National Institutes of Health (NIH) National Library of Medicine under award 5R01LM01136906 and the NIH National Institute of General Medical Sciences under award 5R01GM10143005. Dr. Chen is supported by the NIH Big Data to Knowledge initiative via the National Institute of Environmental Health Sciences under award K01ES026837.,"A. Callahan; Stanford University, Stanford, 1265 Welch Road, 94305, United States; email: acallaha@stanford.edu.",American College of Physicians,,,,,,00034819,,AIMEA,32479175.0,English,Article,Final,All Open Access; Green Open Access,Scopus,2-s2.0-85085854091
Sinha I.; Aluthge D.P.; Chen E.S.; Sarkar I.N.; Ahn S.H.,"Sinha, Ishan (58321787300); Aluthge, Dilum P. (57193819925); Chen, Elizabeth S. (59093881900); Sarkar, Indra Neil (15124590700); Ahn, Sun Ho (7401989967)",58321787300; 57193819925; 59093881900; 15124590700; 7401989967,Machine Learning Offers Exciting Potential for Predicting Postprocedural Outcomes: A Framework for Developing Random Forest Models in IR,2020,Journal of Vascular and Interventional Radiology,31,6,,1018,1024.e4,,19.0,10.1016/j.jvir.2019.11.030,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85084203805&doi=10.1016%2fj.jvir.2019.11.030&partnerID=40&md5=cf2831231dc4d8f1b7c0c089411c1311,"Purpose: To demonstrate that random forest models trained on a large national sample can accurately predict relevant outcomes and may ultimately contribute to future clinical decision support tools in IR. Materials and Methods: Patient data from years 2012–2014 of the National Inpatient Sample were used to develop random forest machine learning models to predict iatrogenic pneumothorax after computed tomography–guided transthoracic biopsy (TTB), in-hospital mortality after transjugular intrahepatic portosystemic shunt (TIPS), and length of stay > 3 days after uterine artery embolization (UAE). Model performance was evaluated with area under the receiver operating characteristic curve (AUROC) and maximum F1 score. The threshold for AUROC significance was set at 0.75. Results: AUROC was 0.913 for the TTB model, 0.788 for the TIPS model, and 0.879 for the UAE model. Maximum F1 score was 0.532 for the TTB model, 0.357 for the TIPS model, and 0.700 for the UAE model. The TTB model had the highest AUROC, while the UAE model had the highest F1 score. All models met the criteria for AUROC significance. Conclusions: This study demonstrates that machine learning models may suitably predict a variety of different clinically relevant outcomes, including procedure-specific complications, mortality, and length of stay. Performance of these models will improve as more high-quality IR data become available. © 2019 SIR",,"Adolescent; Adult; Aged; Aged, 80 and over; Child; Child, Preschool; Data Mining; Databases, Factual; Female; Hospital Mortality; Humans; Iatrogenic Disease; Image-Guided Biopsy; Infant; Infant, Newborn; Inpatients; Length of Stay; Machine Learning; Male; Middle Aged; Pneumothorax; Portasystemic Shunt, Transjugular Intrahepatic; Radiography, Interventional; Retrospective Studies; Risk Assessment; Risk Factors; Time Factors; United States; Uterine Artery Embolization; Young Adult; adolescent; adult; aged; Article; child; clinical decision support system; clinical outcome; computer assisted diagnosis; computer assisted tomography; female; hospital mortality; human; iatrogenic disease; image guided biopsy; infant; interventional radiology; length of stay; major clinical study; male; middle aged; newborn; pneumothorax; predictive value; priority journal; random forest; receiver operating characteristic; sensitivity and specificity; transjugular intrahepatic portosystemic shunt; transthoracic biopsy; uterine artery embolization; adverse event; data mining; factual database; hospital patient; iatrogenic disease; interventional radiology; machine learning; mortality; pneumothorax; preschool child; procedures; retrospective study; risk assessment; risk factor; time factor; United States; very elderly; young adult",This work was funded in part by National Institutes of Health Grant U54GM115677 . The content is solely the responsibility of the authors and does not necessarily represent the official views of the National Institutes of Health.,"I. Sinha; Warren Alpert Medical School of Brown University, Providence, United States; email: ishan_sinha@brown.edu",Elsevier Inc.,,,,,,10510443,,JVIRE,32376173.0,English,Article,Final,All Open Access; Green Open Access,Scopus,2-s2.0-85084203805
Hussain S.; Hussain M.; Afzal M.; Hussain J.; Bang J.; Seung H.; Lee S.,"Hussain, Shujaat (56274418600); Hussain, Maqbool (35213389000); Afzal, Muhammad (7102789390); Hussain, Jamil (56492488200); Bang, Jaehun (56015706100); Seung, Hyonwoo (56231619600); Lee, Sungyoung (8956579500)",56274418600; 35213389000; 7102789390; 56492488200; 56015706100; 56231619600; 8956579500,Semantic preservation of standardized healthcare documents in big data,2019,International Journal of Medical Informatics,129,,,133,145,12.0,10.0,10.1016/j.ijmedinf.2019.05.024,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85067240269&doi=10.1016%2fj.ijmedinf.2019.05.024&partnerID=40&md5=ec0f96ce9492ea03a991b94c0872b917,"Background: Standardized healthcare documents have a high adoption rate in today's hospital setup. This brings several challenges as processing the documents on a large scale takes a toll on the infrastructure. The complexity of these documents compounds the issue of handling them which is why applying big data techniques is necessary. The nature of big data techniques can trigger accuracy/semantic loss in health documents when they are partitioned for processing. This semantic loss is critical with respect to clinical use as well as insurance, or medical education. Methods: In this paper we propose a novel technique to avoid any semantic loss that happens during the conventional partitioning of healthcare documents in big data through a constraint model based on the conformance of clinical document standard and user based use cases. We used clinical document architecture (CDAR) datasets on Hadoop Distributed File System (HDFS) through uniquely configured setup. We identified the affected documents with respect to semantic loss after partitioning and separated them into two sets: conflict free documents and conflicted documents. The resolution for conflicted documents was done based on different resolution strategies that were mapped according to CDAR specification. The first part of the technique is focused in identifying the type of conflict in the blocks that arises after partitioning. The second part focuses on the resolution mapping of the conflicts based on the constraints applied depending on the validation and user scenario. Results: We used a publicly available dataset of CDAR documents, identified all conflicted documents and resolved all the them successfully to avoid any semantic loss. In our experiment we tested up to 87,000 CDAR documents and successfully identified the conflicts and resolved the semantic issues. Conclusion: We have presented a novel study that focuses on the semantics of big data which did not compromise the performance and resolved the semantic issues risen during the processing of clinical documents. © 2019 Elsevier B.V.",Big data; CDA<sup>®</sup> documents; Clinical documents; Document handling; Semantics,Big Data; Delivery of Health Care; Semantics; Big data; File organization; Health care; Medical education; Clinical document architectures; Clinical documents; Different resolutions; Document handling; Document standards; Hadoop distributed file system (HDFS); Novel techniques; Semantic preservation; article; big data; human; human experiment; insurance; medical education; semantics; validation process; health care delivery; Semantics,"This research was supported by the Ministry of Science and ICT ( MSIT ), Korea, under the Information Technology Research Center (ITRC) support programme (IITP-2017-0-01629) supervised by the Institute for Information & Communications Technology Promotion (IITP). This work was supported by an IITP grant funded by the Korean government (MSIT) (no. 2017-0-00655 ).","M. Hussain; Department of Software, Sejong University, South Korea; email: maqbool.hussain@sejong.ac.kr",Elsevier Ireland Ltd,,,,,,13865056,,IJMIF,31445248.0,English,Article,Final,,Scopus,2-s2.0-85067240269
Uddin M.A.; Stranieri A.; Gondal I.; Balasubramanian V.,"Uddin, Md Ashraf (7003509328); Stranieri, Andrew (6701581458); Gondal, Iqbal (9638318000); Balasubramanian, Venki (25031266400)",7003509328; 6701581458; 9638318000; 25031266400,Rapid health data repository allocation using predictive machine learning,2020,Health Informatics Journal,26,4,,3009,3036,27.0,15.0,10.1177/1460458220957486,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85091464464&doi=10.1177%2f1460458220957486&partnerID=40&md5=e38c1b3d79d8ec1f8dbcde94619ad70a,"Health-related data is stored in a number of repositories that are managed and controlled by different entities. For instance, Electronic Health Records are usually administered by governments. Electronic Medical Records are typically controlled by health care providers, whereas Personal Health Records are managed directly by patients. Recently, Blockchain-based health record systems largely regulated by technology have emerged as another type of repository. Repositories for storing health data differ from one another based on cost, level of security and quality of performance. Not only has the type of repositories increased in recent years, but the quantum of health data to be stored has increased. For instance, the advent of wearable sensors that capture physiological signs has resulted in an exponential growth in digital health data. The increase in the types of repository and amount of data has driven a need for intelligent processes to select appropriate repositories as data is collected. However, the storage allocation decision is complex and nuanced. The challenges are exacerbated when health data are continuously streamed, as is the case with wearable sensors. Although patients are not always solely responsible for determining which repository should be used, they typically have some input into this decision. Patients can be expected to have idiosyncratic preferences regarding storage decisions depending on their unique contexts. In this paper, we propose a predictive model for the storage of health data that can meet patient needs and make storage decisions rapidly, in real-time, even with data streaming from wearable sensors. The model is built with a machine learning classifier that learns the mapping between characteristics of health data and features of storage repositories from a training set generated synthetically from correlations evident from small samples of experts. Results from the evaluation demonstrate the viability of the machine learning technique used. © The Author(s) 2020.",Big Health data; Blockchain; classifier; deep learning; digital health record storage; electronic health record; machine learning; quality of performance; security and privacy; stream data,"Blockchain; Electronic Health Records; Health Records, Personal; Humans; Machine Learning; Technology; electronic health record; human; machine learning; medical record; technology","The author(s) disclosed receipt of the following financial support for the research, authorship, and/or publication of this article: The author(s) received financial support from the School of Engineering, Information Technology and Physical Sciences, Federation University Australia for conducting research, and publication of this article. ","M.A. Uddin; Federation University Australia, Australia; email: mdashrafuddin@students.federation.edu.au",SAGE Publications Ltd,,,,,,14604582,,HIJEA,32969296.0,English,Article,Final,All Open Access; Gold Open Access; Green Open Access,Scopus,2-s2.0-85091464464
Gruendner J.; Schwachhofer T.; Sippl P.; Wolf N.; Erpenbeck M.; Gulden C.; Kapsner L.A.; Zierk J.; Mate S.; Stürzl M.; Croner R.; Prokosch H.-U.; Toddenroth D.,"Gruendner, Julian (57208246806); Schwachhofer, Thorsten (57211156084); Sippl, Phillip (57211160692); Wolf, Nicolas (57211155787); Erpenbeck, Marcel (57211160588); Gulden, Christian (57189691606); Kapsner, Lorenz A. (57206905177); Zierk, Jakob (55825439000); Mate, Sebastian (54581374100); Stürzl, Michael (56264851100); Croner, Roland (6507695519); Prokosch, Hans-Ulrich (6701859198); Toddenroth, Dennis (36599445900)",57208246806; 57211156084; 57211160692; 57211155787; 57211160588; 57189691606; 57206905177; 55825439000; 54581374100; 56264851100; 6507695519; 6701859198; 36599445900,"Ketos: Clinical decision support and machine learning as a service – A training and deployment platform based on Docker, OMOP-CDM, and FHIR Web Services",2019,PLoS ONE,14,10,e0223010,,,,34.0,10.1371/journal.pone.0223010,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85072842677&doi=10.1371%2fjournal.pone.0223010&partnerID=40&md5=d69c8f8f99e4d949859ebe6ab202e124,"Background and objective To take full advantage of decision support, machine learning, and patient-level prediction models, it is important that models are not only created, but also deployed in a clinical setting. The KETOS platform demonstrated in this work implements a tool for researchers allowing them to perform statistical analyses and deploy resulting models in a secure environment. Methods The proposed system uses Docker virtualization to provide researchers with reproducible data analysis and development environments, accessible via Jupyter Notebook, to perform statistical analysis and develop, train and deploy models based on standardized input data. The platform is built in a modular fashion and interfaces with web services using the Health Level 7 (HL7) Fast Healthcare Interoperability Resources (FHIR) standard to access patient data. In our prototypical implementation we use an OMOP common data model (OMOP-CDM) database. The architecture supports the entire research lifecycle from creating a data analysis environment, retrieving data, and training to final deployment in a hospital setting. Results We evaluated the platform by establishing and deploying an analysis and end user application for hemoglobin reference intervals within the University Hospital Erlangen. To demonstrate the potential of the system to deploy arbitrary models, we loaded a colorectal cancer dataset into an OMOP database and built machine learning models to predict patient outcomes and made them available via a web service. We demonstrated both the integration with FHIR as well as an example end user application. Finally, we integrated the platform with the open source DataSHIELD architecture to allow for distributed privacy preserving data analysis and training across networks of hospitals. Conclusion The KETOS platform takes a novel approach to data analysis, training and deploying decision support models in a hospital or healthcare setting. It does so in a secure and privacy-preserving manner, combining the flexibility of Docker virtualization with the advantages of standardized vocabularies, a widely applied database schema (OMOP-CDM), and a standardized way to exchange medical data (FHIR). © 2019 Gruendner et al. This is an open access article distributed under the terms of the Creative Commons Attribution License, which permits unrestricted use, distribution, and reproduction in any medium, provided the original author and source are credited.",,"Colorectal Neoplasms; Decision Support Systems, Clinical; Health Information Interoperability; Hemoglobins; Humans; Internet; Machine Learning; Models, Theoretical; Privacy; Reference Values; Treatment Outcome; User-Computer Interface; hemoglobin; hemoglobin; access to information; Article; clinical decision support system; colorectal cancer; computer security; data analysis; data interoperability; factual database; Germany; hospital information system; human; information retrieval; Internet; machine learning; prediction; privacy; reference value; standardization; statistical analysis; virtual reality; colorectal tumor; computer interface; data interoperability; Internet; metabolism; theoretical model; treatment outcome",This work was supported by grants from MIRACUM project. This research has been conducted within the MIRACUM consortium. MIRACUM is funded by the German Ministry for Education and Research (BMBF) under the Funding Numbers FKZ: 01ZZ1801A.,"J. Gruendner; Chair of Medical Informatics, Friedrich-Alexander-University Erlangen-Nürnberg (FAU), Erlangen, Germany; email: julian.gruendner@fau.de",Public Library of Science,,,,,,19326203,,POLNC,31581246.0,English,Article,Final,All Open Access; Gold Open Access,Scopus,2-s2.0-85072842677
