,id,Authors,Title,Year,Source title,Cited by,DOI,Abstract,Author Keywords,Index Keywords,Publisher,Conference name,Conference date,Conference location,Document Type,Publication Stage,Open Access,Included,Reason,Fulltext screening,further excluded,Full-text screening
45,45,Baihan M.S.; Sánchez Y.K.R.; Shao X.; Gilman C.; Demurjian S.A.; Agresta T.P.,A blueprint for designing and developing M-health applications for diverse stakeholders utilizing FHIR,2018,Contemporary Applications of Mobile Computing in Healthcare Settings,3,10.4018/978-1-5225-5036-5.ch006,"FHIR standard is designed to enable interoperability and integration with the newest and adopted technologies by the industry. This chapter presents a number of blueprints for the design and development of FHIR servers that enable the integration between HIT systems with m-health applications via FHIR. Each blueprint is based on the location that FHIR servers can be placed with respect to the components of the m-health application (UI, API, server) or a HIT system in order to define and design the necessary infrastructure to facilitate the exchange ofinformation via FHIR. To demonstrate the feasibility of the work, this chapter utilizes the Connecticut concussion tracker (CT2) m-health application as a proof-of-concept prototype that fully illustrates the blueprints of the design and development steps that are involved. The blueprints can be applied to any m-health application and are informative and instructional for medical stakeholders, researchers, and developers. © 2018 by IGI Global. All rights reserved.",,,IGI Global,,,,Book chapter,Final,,1,,mentioned as Future trends,1.0,
46,46,Woosley R.L.; Schwartz P.J.,Drug-Induced Long QT Syndrome and Torsades de Pointes,2019,Cardiac Repolarization: Basic Science and Clinical Management,3,10.1007/978-3-030-22672-5_10,"Of the many manifestations of cardiac repolarization abnormalities, diLQTS is the most common seen in clinical practice. Prolongation of the QT interval is a useful but imperfect predictor of diLQTS that is often used to detect patients at high risk of developing the serious and life-threatening arrhythmia, torsades de pointes. Knowledge of the mechanisms responsible for diLQTS, awareness of the drugs that prolong QT, and consideration of the many patient-specific risk factors are essential elements in any prevention strategy. Current advances in the development of clinical decision support systems for management of this information and the ability to include the results of genomic testing in the electronic medical record are encouraging signs that this preventable adverse drug reaction may someday soon, in fact, be prevented. © Springer Nature Switzerland AG 2020.",Clinical decision support; Drug-induced long qt syndrome; Herg channels; Late sodium current; Pharmacogenomics; Qtc interval; Risk factors; Torsades de pointes,,Springer International Publishing,,,,Book chapter,Final,,0,"no technological concepts, interoperability frameworks, or FHIR/SMART on FHIR standard",,,
47,47,Burse R.; Bertolotto M.; O’Sullivan D.; McArdle G.,Semantic interoperability: The future of healthcare,2021,Web Semantics: Cutting Edge and Future Directions in Healthcare,3,10.1016/B978-0-12-822468-7.00018-3,"Healthcare interoperability has been a major challenge since the early 1980s and still remains an unsolved issue. Attempts in the past have addressed this problem using bespoke solutions, but a generic solution still eludes the healthcare community. This chapter discusses the various levels at which interoperability needs to be preserved for an uninterrupted exchange of healthcare information. The chapter reviews the various healthcare standards developed in an attempt to solve the interoperability problem at a syntactic level and then moves on to examine medical ontologies developed to solve the problem at a semantic level. The chapter explains the features of semantic web technology that can be leveraged at each level. A literature survey is carried out to gage the current contribution of semantic web technologies in this area along with an analysis of how semantic web technologies can be improved to better suit the health informatics domain and solve the healthcare interoperability challenge. © 2021 Elsevier Inc. All rights reserved.",Fast healthcare interoperability resources (FHIR); Healthcare interoperability; Medical ontologies; Protocol and RDF query language (SPARQL); Resource description framework schema (RDFS); Semantic web technology; SNOMED; Web ontology language (OWL),,Elsevier,,,,Book chapter,Final,,0,focus on terminology and not authorization,,,
48,48,Tong L.; Wu H.; Wang M.D.; Wang G.,Introduction of medical genomics and clinical informatics integration for p-Health care,2022,Progress in Molecular Biology and Translational Science,4,10.1016/bs.pmbts.2022.05.002,"Achieving predictive, precise, participatory, preventive, and personalized health (abbreviated as p-Health) requires comprehensive evaluations of an individual's conditions captured by various measurement technologies. Since the 1950s, analysis of care providers' and physicians' notes and measurement data by computers to improve healthcare delivery has been termed clinical informatics. Since the 2010s, wide adoptions of Electronic Health Records (EHRs) have greatly improved clinical informatics development with fast growing pervasive wearable technologies that continuously capture the human physiological profile in-clinic (EHRs) and out-of-clinic (PHRs or Personal Health Records) to bolster mobile health (mHealth). In addition, after the Human Genome Project in the 1990s, medical genomics has emerged to capture the high-throughput molecular profile of a person. As a result, integrated data analytics is becoming one of the fast-growing areas under Biomedical Big Data to improve human healthcare outcomes. In this chapter, we first introduce the scope of data integration and review applications, data sources, and tools for clinical informatics and medical genomics. We then describe the data integration analytics at the raw data level, feature level, and decision level with case studies, and the opportunity for research and translation using advanced artificial intelligence (AI), such as deep learning. Lastly, we summarize the opportunities in biomedical big data integration that can reshape healthcare toward p-health. © 2022 Elsevier Inc.",Biomedical big data analytics; Clinical informatics; Data integration; Genomics; Machine learning and artificial intelligence; p-Health,Artificial Intelligence; Delivery of Health Care; Genomics; Humans; Medical Informatics; Precision Medicine; adult; artificial intelligence; big data; data integration; deep learning; genomics; health care delivery; human; human genome project; machine learning; medical informatics; artificial intelligence; genomics; personalized medicine,Elsevier B.V.,,,,Book chapter,Final,,0,"no technological concepts, interoperability frameworks, or FHIR/SMART on FHIR standard",,,
49,49,Ugajin A.,Automation in Hospitals and Health Care,2023,Springer Handbooks,4,10.1007/978-3-030-96729-1_56,"We are sure that patient-centric health care is required for improving quality of life (QoL). To realize patient-centric health care, the burden and workload of doctors, nurses, and healthcare professionals must be reduced by using cutting-edge technologies to concentrate on patients’ care for improving quality of medicine. This means that human-centric health care improves QOL not only for patients but also for doctors, nurses, and healthcare professionals. There have been several major technological advancements over the past decades. Smart devices, cloud computing, AI (artificial intelligence), robotics, and the Internet of Things (IoT) can make big contributions to accelerating digital transformation in hospitals and health care. As for the network environment, the utilization of 5G is expected to create new healthcare applications remotely. Use cases of application are rapidly expanding with the spread of the advancements described above. The applications can be categorized along with the patient care cycle from prevention, testing, diagnosis, treatment, and prognosis. The applications are mainly used in medical institutions, but they are also expanding outside of medical institutions, such as patients at home and remote patient monitoring. These situations are rapidly expanding owing to the COVID-19 pandemic. However, each application using cutting-edge technologies allows the situation of application silo and data silo to be accelerated without any standard and digital platform. We are required to contribute to making some standards such as application programing interface, terminology, and data format. In addition, we are also required to realize digital platforms with views from doctors, nurses, healthcare professionals, and patient usability and true benefits. Useful applications can be utilized easily by doctors, nurses, healthcare professionals, and patients as needed, realizing data connectivity and a data integration environment for visualizing real situations of human resources, asset utilization, clinical outcome, etc., in hospitals and health care. Digital transformation in hospitals and health care is very important not only for patients but also for doctors, nurses, and healthcare professionals. This means not just patient-centric health care but human-centric health care. © 2023, Springer Nature Switzerland AG.",5G; Artificial intelligence; Cloud computing; COVID-19; Digital transformation; Internet of Things; Personal health record; Platform; Remote patient monitoring; Robotics,,Springer Science and Business Media Deutschland GmbH,,,,Book chapter,Final,,0,"no technological concepts, interoperability frameworks, or FHIR/SMART on FHIR standard",,,
50,50,Nhr C.; Kuziemsky C.E.; Elkin P.L.; Marcilly R.; Pelayo S.,Sustainable Health Informatics: Health Informaticians as Alchemists,2019,Studies in Health Technology and Informatics,5,10.3233/SHTI190129,The digital transformation of health care delivery remains an elusive work in progress. Contextual variation continues to be a significant barrier to the development of sustainable health information systems. In this paper we characterize health informaticians as modern alchemists and use this characterization to describe informatics progress in addressing four key healthcare challenges. We highlight the need for informaticians to be diligent and loyal to basic methodological principles while also appreciating the role that contextual variation plays in informatics research. We also emphasize that meaningful health systems transformation takes time. The insight presented in this paper helps informaticians in our quest to develop sustainable health information systems. © 2019 The authors and IOS Press.,Context; Decision support; Health informatics; Ontologies; standards; Sustainability; Usability; Work practice,Delivery of Health Care; Health Information Systems; Medical Informatics; Research; Decision support systems; Health care; Information systems; Information use; Ontology; Standards; Sustainable development; Context; Decision supports; Digital transformation; Informatics research; Sustainable healths; Usability; Work in progress; Work practices; decision support system; health care delivery; human; informatician; medical informatics; medical information system; ontology; medical information system; research; Medical informatics,IOS Press,,,,Book chapter,Final,,0,"no technological concepts, interoperability frameworks, or FHIR/SMART on FHIR standard",,,
51,51,Dankwa-Mullan I.; Zhang X.; Le P.-T.; Riley W.T.,Applications of Big Data Science and Analytic Techniques for Health Disparities Research,2021,The Science of Health Disparities Research,5,10.1002/9781119374855.ch14,"In recent years we have seen a dramatic increase in health-related data resulting in enormous data sets and sources, typically described as big data. Within the National Institutes of Health, big data refers to the complexity, challenges, and new opportunities presented by the combined analysis of diverse, multimodal, and unstructured data, usually with data volumes greater than one terabyte. Big data science, as it applies to precision medicine, is the generation and storage of large amounts of data from biospecimens, health records, medical imaging, and sensors from which disease-specific factors, patterns, and associations can be computationally identified and used to generate insights for clinical care, decision making, and treatment. In the broad sense, it includes electronic health records, biologic data (genomics, proteomics, metabolomics), environmental and lifestyle data, and data from wearable technology and mobile phone applications. This chapter will discuss the foundations of big data, big data analytics, and opportunities for conducting health disparities research. © 2021 John Wiley & Sons, Inc.",analytic applications; big data analytics; data science; health disparities research; health information technology,,wiley,,,,Book chapter,Final,All Open Access; Bronze Open Access,0,"no technological concepts, interoperability frameworks, or FHIR/SMART on FHIR standard",,,
52,52,Sass J.; Zabka S.; Essenwanger A.; Schepers J.; Boeker M.; Thun S.,Fast healthcare interoperability resources (FHIR®) representation of medication data derived from german procedure classification codes (OPS) using identification of medicinal products (IDMP) compliant terminology,2021,"German Medical Data Sciences: Bringing Data to Life: Proceedings of the Joint Annual Meeting of the German Association of Medical Informatics, Biometry and Epidemiology (gmds e.V.) and the Central European Network - International Biometric Society (CEN-IBS) 2020 in Berlin, Germany",5,10.3233/SHTI210074,"Electronic documentation of medication data is one of the biggest challenges associated with digital clinical documentation. Despite its importance, it has not been consistently implemented in German university hospitals. In this paper we describe the approach of the German Medical Informatics Initiative (MII) towards the modelling of a medication core dataset using FHIR® profiles and standard-compliant terminologies. The FHIR profiles for Medication and MedicationStatement were adapted to the core dataset of the MIl. The terminologies to be used were selected based on the criteria of the ISO-standard for the Identification of Medicinal Products (IDMP). For a first use case with a minimal medication dataset, the entries in the medication chapter of the German Procedure Classification (OPS codes) were analyzed and mapped to IDMP-compliant medication terminology. OPS data are available at all German hospitals as they are mandatory for reimbursement purposes. Reimbursement-relevant encounter data containing OPS medication procedures were used to create a FHIR representation based on the FHIR profiles MedicationStatement and Medication. This minimal solution includes - besides the details on patient and start-/end-dates - the active ingredients identified by the IDMP-compliant codes and - if specified in the OPS code - the route of administration and the range of the amount of substance administered to the patient, using the appropriate unit of measurement code. With FHIR, the medication data can be represented in the data integration centers of the MII to provide a standardized format for data analysis across the MII sites. © 2021 The authors and IOS Press.",FHIR; Health Information Interoperability; Identification of Medicinal Products (IDMP); Medication,Electronic Health Records; Humans; Medical Informatics; Patient Compliance; electronic health record; human; medical informatics; patient compliance,IOS Press,,,,Book chapter,Final,All Open Access; Hybrid Gold Open Access,0,"no technological concepts, interoperability frameworks, or FHIR/SMART on FHIR standard",,,
53,53,Mitra A.; Roy U.; Tripathy B.K.,IoMT in Healthcare Industry—Concepts and Applications,2022,Studies in Computational Intelligence,6,10.1007/978-981-19-2416-3_8,"In recent times, the Internet of Medical Things (IoMT) has emerged as one of humanity’s most helpful technological gifts. With incredible development in data sciences, big data technologies, and embedded systems, today, it is possible to collect a huge amount of healthcare-related sensitive and personal data and store and compile it through cloud or edge computing scenarios. Sensor-based devices connected with the patient can capture body vitals like heart rate, blood pressure, and oxygen levels, thus providing broader scope for remote patient monitoring of chronic or long-term conditions, tracking patient medication orders, and even tracking the mobility pattern and location of patients. Further, healthcare-related wearable devices can be configured to send emergency information to caregivers. When these IoMT-based devices are connected and configured with the patient healthcare monitoring system or hospital system, they are expected to provide effective assistance towards the decision-making process required for the treatment. This book chapter intends to discuss the basic concepts associated with IoMT and review the current state of the Internet of Things applied to healthcare and medical technologies and focus on an application based on IoMT. Recently, this field has seen exponential growth in terms of products and research at different levels, such as sensors, networks, and repositories. This chapter further focuses on application based on location tracking of movable healthcare base sensor devices, data acquisition from those devices, and efficient processing for decision-making. Lastly, the authors are also interested to include a case study based on the mentioned application. © 2022, The Author(s), under exclusive license to Springer Nature Singapore Pte Ltd.",Big data technologies; Data sciences; Embedded systems; Heterogeneity; Internet of medical things; Interoperability,,Springer Science and Business Media Deutschland GmbH,,,,Book chapter,Final,,0,"no technological concepts, interoperability frameworks, or FHIR/SMART on FHIR standard",,,
54,54,Fernandez-Luque L.; Aupetit M.; Palotti J.; Singh M.; Fadlelbari A.; Baggag A.; Khowaja K.; Al-Thani D.,Health Lifestyle Data-Driven Applications Using Pervasive Computing,2019,Lecture Notes in Bioengineering,7,10.1007/978-3-030-06109-8_10,"In this chapter, we overview the current and future impact of pervasive computing in the health domain. In this context, we focus on some of the crucial aspects of data-driven applications. We present examples of recently proposed lifestyle applications and highlight the ethical issues with such applications. We discuss challenges and opportunities in the process of transforming the raw data collected from wearables and mobile devices into insights. Finally, the last part of this chapter provides insights into socio-ethical aspects which are raising in the context of data-driven health applications based on pervasive computing technologies. © 2019, Springer Nature Switzerland AG.",,,Springer,,,,Book chapter,Final,,0,"no technological concepts, interoperability frameworks, or FHIR/SMART on FHIR standard",,,
55,55,Palos-Sánchez P.; Saura J.R.; Álvarez-García J.,Innovation and Creativity in the Mobile Applications Industry: A Case Study of Mobile Health Applications (e-Health Apps),2019,"Innovation, Technology and Knowledge Management",9,10.1007/978-3-319-99590-8_7,"The development of new technologies, especially the Internet, has resulted in the expansion and development of the global economy. This fact has led the communication and culture industries to play an increasingly more important role in a global economy. One of these industries is driven by the development of Mobile Health Applications that aim to diagnose, monitor and follow up illnesses through applications. The objective of this research is to determine the types of Mobile Health Applications found in this creative industry and determine the future of the industry in terms of innovation and development of new applications within the health sector. The results of the research identify the types of Mobile Health Applications and their uses, and determine the future development of the industry in terms of regulation and use by the ecosystem of institutions and health professionals, with special emphasis on the privacy and personal data of their patients and users. © 2019, Springer Nature Switzerland AG.",Creative industry; eHealth apps; mHealth; Mobile health applications,,Springer,,,,Book chapter,Final,,0,"no technological concepts, interoperability frameworks, or FHIR/SMART on FHIR standard",,,
56,56,Melton G.B.; McDonald C.J.; Tang P.C.; Hripcsak G.,Electronic health records,2021,Biomedical Informatics: Computer Applications in Health Care and Biomedicine: Fifth Edition,9,10.1007/978-3-030-58721-5_14,"This chapter introduces and reviews electronic health record (EHR) systems as essential core health information technology (IT). It describes current and potential future EHR functionality and discusses some of the challenges and controversies for these systems. EHRs include both traditional and newer capabilities for direct patient care and population health, as well as innovative Health IT working in concert with EHRs. Today's EHR landscape includes challenges around EHR data entry, increased patient participation in EHR data entry, certified EHRs with increased inter-operability, and a number of regulatory requirements often leveraging EHRs. © Springer Nature Switzerland AG 2021.",Computerized/standards; Electronic health records; Medical records systems,,Springer International Publishing,,,,Book chapter,Final,,0,"no technological concepts, interoperability frameworks, or FHIR/SMART on FHIR standard",,,
57,57,Singh K.; Landman A.B.,Mobile Health,2017,Key Advances in Clinical Informatics: Transforming Health Care through Health Information Technology,20,10.1016/B978-0-12-809523-2.00013-3,"Mobile Health, or mHealth, describes the use of mobile and wireless communication technologies to improve healthcare delivery, outcomes, and research. mHealth is poised to play a larger role in engaging patients in self-care as smartphone ownership is rising both in the United States and globally. Advances in smartphone software and hardware coupled with rising availability of wearable devices have resulted in exponential growth in the health apps market. Recent estimates suggest that more than 259,000 mHealth apps are available on app stores today and account for approximately 3.2 billion downloads annually. The evidence base supporting the use of apps independently of other interventions remains quite thin, and this has led to skepticism among large medical organizations about the role apps may play in healthcare. Nevertheless, apps continue to displace older technologies in several domains, for example, by replacing dedicated communication devices for individuals with autism and replacing medical bands with medical identification built into smartphone lock screens. Barriers such as privacy concerns and lack of integration into the electronic health record have limited the impact of apps, but mHealth has enormous potential to reshape healthcare delivery in the future. © 2018 Elsevier Inc. All rights reserved.",apps; mHealth; Mobile health; patient engagement; smartphones; wearable devices,,Elsevier,,,,Book chapter,Final,,0,"no technological concepts, interoperability frameworks, or FHIR/SMART on FHIR standard",,,
58,58,Musen M.A.; Middleton B.; Greenes R.A.,Clinical decision-support systems,2021,Biomedical Informatics: Computer Applications in Health Care and Biomedicine: Fifth Edition,61,10.1007/978-3-030-58721-5_24,"This chapter discusses information technology that provides health-care workers and patients with situation-specific advice that can inform their decision making. The intricacies of the clinical environment, new legislative mandates, and the increasing complexity of medical practice all escalate the demand for clinical decision-support systems (CDSS) that can deliver tailored information at the right time and in the right context. The chapter describes methods for building CDSSs, which include context-specific information retrieval, grouping information within order sets, learning from data, and the use of declarative knowledge representations. The landscape for deploying CDSS technology is evolving rapidly, and the chapter discusses current standards and challenges for CDSS implementation. It concludes with a presentation of opportunities for future research. © Springer Nature Switzerland AG 2021.",Belief network; Clinical decision support; Clinical Quality Language; Infobutton; Machine learning; Order set; Rule-based system; Situation-specific factors,,Springer International Publishing,,,,Book chapter,Final,,1,,brief introduction,1.0,
59,59,Thun S.,Data in the clinic and the practice—what is important?; [Daten in Klinik und Praxis – was ist wichtig?],2018,Gynakologe,0,10.1007/s00129-018-4253-1,"Background: Digitalization of health care will change the requirements of medical documentation enormously. The new requirements of the so-called eHealth Act mean that payment-driven and legal liability documentation will become increasingly medically dominated documentation. Additionally, patient data are no longer collected exclusively by physicians, but rather accumulated from many different sources. Patients are placed in the position of being able to document their data in their own patient records. Materials and methods: The requirements of medical documentation according to the German Code of Social Law (Sozialgesetzbuch, SGB) V were analyzed. The services of the systems for practice-based gynecologists and for gynecological departments in hospitals were summarized. Furthermore, a literature search was performed in PubMed and within the relevant journals for gynecology. Results: Since different organizations set different requirements for the content and technical aspects of medical and administrative applications and concepts, the documentation for the requirements is not only extensive, but also highly complicated and time consuming. Semantic interoperability is not given. Conclusion: The unclarified IT (information technology) situation in the German health care sector with respect to the IT standards to be applied faces all players with formidable challenges. Patients and medical staff are the persons affected. An all-encompassing e‑health strategy supported by all players including harmonization of the ensuing documentation is currently lacking. © 2018, Springer Verlag. All rights reserved.",Data archiving; Documentation; Health care sector; Health information interoperability; Telemedicine,adult; article; data interoperability; female; gynecologist; gynecology; health care cost; human; information technology; medical documentation; medical record; medical staff; Medline; systematic review; telemedicine,Springer Verlag,,,,Review,Final,,0,"no technological concepts, interoperability frameworks, or FHIR/SMART on FHIR standard",,,
60,60,Bohn M.K.; Fabiano G.F.; Adeli K.,"Electronic tools in clinical laboratory diagnostics: Key examples, limitations, and value in laboratory medicine",2021,Journal of Laboratory Medicine,0,10.1515/labmed-2021-0114,"Electronic tools in clinical laboratory diagnostics can assist laboratory professionals, clinicians, and patients in medical diagnostic management and laboratory test interpretation. With increasing implementation of electronic health records (EHRs) and laboratory information systems worldwide, there is increasing demand for well-designed and evidence-based electronic resources. Both complex data-driven and simple interpretative electronic healthcare tools are currently available to improve the integration of clinical and laboratory information towards a more patient-centered approach to medicine. Several studies have reported positive clinical impact of electronic healthcare tool implementation in clinical laboratory diagnostics, including in the management of neonatal bilirubinemia, cardiac disease, and nutritional status. As patients have increasing access to their medical laboratory data, it is essential that accessible electronic healthcare tools are evidence-based and user-friendly for individuals of varying digital and medical literacy. Indeed, studies suggest electronic healthcare tool development processes significantly lack the involvement of relevant healthcare professionals and often present misinformation, including erroneous calculation algorithms or inappropriate interpretative recommendations. The current review provides an overview of the utility of available electronic healthcare tools in clinical laboratory diagnostics and critically reviews potential limitations and benefits of their clinical implementation. The Canadian Laboratory Initiative on Pediatric Reference Intervals (CALIPER) online database is also detailed as an example of a pediatric diagnostic tool with widespread global impact.  © 2021 Mary Kathryn Bohn et al., published by De Gruyter, Berlin/Boston.",electronic health records; electronic laboratory diagnostic tools; patient-centered medicine,clinical laboratory; clinician; diagnosis; electronic health record; human; laboratory test; patient attitude; physician attitude; reference value; Review,Walter de Gruyter GmbH,,,,Review,Final,All Open Access; Gold Open Access,0,"no technological concepts, interoperability frameworks, or FHIR/SMART on FHIR standard",,,
61,61,Bishay A.E.; Hughes N.C.; Zargari M.; Paulo D.L.; Bishay S.; Lyons A.T.; Morkos M.N.; Ball T.J.; Englot D.J.; Bick S.K.,Disparities in Access to Deep Brain Stimulation for Parkinson's Disease and Proposed Interventions: A Literature Review,2024,Stereotactic and Functional Neurosurgery,0,10.1159/000538748,"Background: Deep brain stimulation (DBS) is an effective therapy for Parkinson's disease (PD), but disparities exist in access to DBS along gender, racial, and socioeconomic lines. Summary: Women are underrepresented in clinical trials and less likely to undergo DBS compared to their male counterparts. Racial and ethnic minorities are also less likely to undergo DBS procedures, even when controlling for disease severity and other demographic factors. These disparities can have significant impacts on patients' access to care, quality of life, and ability to manage their debilitating movement disorders. Key Messages: Addressing these disparities requires increasing patient awareness and education, minimizing barriers to equitable access, and implementing diversity and inclusion initiatives within the healthcare system. In this systematic review, we first review literature discussing gender, racial, and socioeconomic disparities in DBS access and then propose several patient, provider, community, and national-level interventions to improve DBS access for all populations. © 2024 The Author(s). Published by S. Karger AG, Basel.",Deep brain stimulation; Disparities; Ethnicity; Gender; Minorities; Socioeconomic status,Deep Brain Stimulation; Female; Health Services Accessibility; Healthcare Disparities; Humans; Male; Parkinson Disease; Socioeconomic Factors; African American; age; American Indian; anxiety; Asian; Black person; brain depth stimulation; Caucasian; community care; cultural bias; doctor patient relationship; economic inequality; gender inequality; health care access; health care disparity; health care policy; health care utilization; health education; health literacy; help seeking behavior; Hispanic; human; medicaid; Oceanic ancestry group; Parkinson disease; patient referral; racial disparity; racism; Review; social status; systematic review; treatment response; tremor; female; male; Parkinson disease; procedures; socioeconomics; therapy,S. Karger AG,,,,Review,Final,All Open Access; Hybrid Gold Open Access,0,"no technological concepts, interoperability frameworks, or FHIR/SMART on FHIR standard",,,
62,62,Machorro-Cano I.; Olmedo-Aguirre J.O.; Alor-Hernández G.; Rodríguez-Mazahua L.; Sánchez-Morales L.N.; Pérez-Castro N.,Cloud-Based Platforms for Health Monitoring: A Review,2024,Informatics,0,10.3390/informatics11010002,"Cloud-based platforms have gained popularity over the years because they can be used for multiple purposes, from synchronizing contact information to storing and managing user fitness data. These platforms are still in constant development and, so far, most of the data they store is entered manually by users. However, more and better wearable devices are being developed that can synchronize with these platforms to feed the information automatically. Another aspect that highlights the link between wearable devices and cloud-based health platforms is the improvement in which the symptomatology and/or physical status information of users can be stored and syn-chronized in real-time, 24 h a day, in health platforms, which in turn enables the possibility of synchronizing these platforms with specialized medical software to promptly detect important variations in user symptoms. This is opening opportunities to use these platforms as support for monitoring disease symptoms and, in general, for monitoring the health of users. In this work, the characteristics and possibilities of use of four popular platforms currently available in the market are explored, which are Apple Health, Google Fit, Samsung Health, and Fitbit. © 2023 by the authors.",cloud-based platforms; data types; healthcare; interoperability and automation; monitoring,,Multidisciplinary Digital Publishing Institute (MDPI),,,,Review,Final,All Open Access; Gold Open Access,0,"no technological concepts, interoperability frameworks, or FHIR/SMART on FHIR standard",,,
63,63,Strasberg H.R.; Jackson G.P.; Bakken S.R.; Boxwala A.; Richardson J.E.; Morrow J.D.,Perspectives on the role of industry in informatics research and authorship,2024,Journal of the American Medical Informatics Association,0,10.1093/jamia/ocae063,"Objectives: Advances in informatics research come from academic, nonprofit, and for-profit industry organizations, and from academic-industry partnerships. While scientific studies of commercial products may offer critical lessons for the field, manuscripts authored by industry scientists are sometimes categorically rejected. We review historical context, community perceptions, and guidelines on informatics authorship.; Process: We convened an expert panel at the American Medical Informatics Association 2022 Annual Symposium to explore the role of industry in informatics research and authorship with community input. The panel summarized session themes and prepared recommendations.; Conclusions: Authorship for informatics research, regardless of affiliation, should be determined by International Committee of Medical Journal Editors uniform requirements for authorship. All authors meeting criteria should be included, and categorical rejection based on author affiliation is unethical. Informatics research should be evaluated based on its scientific rigor; all sources of bias and conflicts of interest should be addressed through disclosure and, when possible, methodological mitigation. # The Author(s) 2024. Published by Oxford University Press on behalf of the American Medical Informatics Association.",authorship; conflict of interest; health care sector; informatics; publication bias,Authorship; Bias; Biomedical Research; Disclosure; Informatics; community; historical research; human; industry; information science; medical informatics; medical research; practice guideline; Review; writing; information science; interpersonal communication; statistical bias,Oxford University Press,,,,Review,Final,,0,"no technological concepts, interoperability frameworks, or FHIR/SMART on FHIR standard",,,
64,64,Loftus T.J.; Balch J.A.; Marquard J.L.; Ray J.M.; Alper B.S.; Ojha N.; Bihorac A.; Melton-Meaux G.; Khanna G.; Tignanelli C.J.,Longitudinal clinical decision support for assessing decisions over time: State-of-the-art and future directions,2024,Digital Health,0,10.1177/20552076241249925,"Objective: Patients and clinicians rarely experience healthcare decisions as snapshots in time, but clinical decision support (CDS) systems often represent decisions as snapshots. This scoping review systematically maps challenges and facilitators to longitudinal CDS that are applied at two or more timepoints for the same decision made by the same patient or clinician. Methods: We searched Embase, PubMed, and Medline databases for articles describing development, validation, or implementation of patient- or clinician-facing longitudinal CDS. Validated quality assessment tools were used for article selection. Challenges and facilitators to longitudinal CDS are reported according to PRISMA-ScR guidelines. Results: Eight articles met inclusion criteria; each article described a unique CDS. None used entirely automated data entry, none used living guidelines for updating the evidence base or knowledge engine as new evidence emerged during the longitudinal study, and one included formal readiness for change assessments. Seven of eight CDS were implemented and evaluated prospectively. Challenges were primarily related to suboptimal study design (with unique challenges for each study) or user interface. Facilitators included use of randomized trial designs for prospective enrollment, increased CDS uptake during longitudinal exposure, and machine-learning applications that are tailored to the CDS use case. Conclusions: Despite the intuitive advantages of representing healthcare decisions longitudinally, peer-reviewed literature on longitudinal CDS is sparse. Existing reports suggest opportunities to incorporate longitudinal CDS frameworks, automated data entry, living guidelines, and user readiness assessments. Generating best practice guidelines for longitudinal CDS would require a greater depth and breadth of published work and expert opinion. © The Author(s) 2024.",CDS; CDSS; evolve; healthcare; Shared decision-making,,SAGE Publications Inc.,,,,Review,Final,,0,"no technological concepts, interoperability frameworks, or FHIR/SMART on FHIR standard",,,
65,65,Tabari P.; Costagliola G.; De Rosa M.; Boeker M.,State-of-the-Art Fast Healthcare Interoperability Resources (FHIR)–Based Data Model and Structure Implementations: Systematic Scoping Review,2024,JMIR Medical Informatics,0,10.2196/58445,"Background: Data models are crucial for clinical research as they enable researchers to fully use the vast amount of clinical data stored in medical systems. Standardized data and well-defined relationships between data points are necessary to guarantee semantic interoperability. Using the Fast Healthcare Interoperability Resources (FHIR) standard for clinical data representation would be a practical methodology to enhance and accelerate interoperability and data availability for research. Objective: This research aims to provide a comprehensive overview of the state-of-the-art and current landscape in FHIR-based data models and structures. In addition, we intend to identify and discuss the tools, resources, limitations, and other critical aspects mentioned in the selected research papers. Methods: To ensure the extraction of reliable results, we followed the instructions of the PRISMA-ScR (Preferred Reporting Items for Systematic Reviews and Meta-Analyses extension for Scoping Reviews) checklist. We analyzed the indexed articles in PubMed, Scopus, Web of Science, IEEE Xplore, the ACM Digital Library, and Google Scholar. After identifying, extracting, and assessing the quality and relevance of the articles, we synthesized the extracted data to identify common patterns, themes, and variations in the use of FHIR-based data models and structures across different studies. Results: On the basis of the reviewed articles, we could identify 2 main themes: dynamic (pipeline-based) and static data models. The articles were also categorized into health care use cases, including chronic diseases, COVID-19 and infectious diseases, cancer research, acute or intensive care, random and general medical notes, and other conditions. Furthermore, we summarized the important or common tools and approaches of the selected papers. These items included FHIR-based tools and frameworks, machine learning approaches, and data storage and security. The most common resource was “Observation” followed by “Condition” and “Patient.” The limitations and challenges of developing data models were categorized based on the issues of data integration, interoperability, standardization, performance, and scalability or generalizability. Conclusions: FHIR serves as a highly promising interoperability standard for developing real-world health care apps. The implementation of FHIR modeling for electronic health record data facilitates the integration, transmission, and analysis of data while also advancing translational research and phenotyping. Generally, FHIR-based exports of local data repositories improve data interoperability for systems and data warehouses across different settings. However, ongoing efforts to address existing limitations and challenges are essential for the successful implementation and integration of FHIR data models. ©Parinaz Tabari, Gennaro Costagliola, Mattia De Rosa, Martin Boeker.",data model; Fast Healthcare Interoperability Resources; FHIR; interoperability; modeling; PRISMA,,JMIR Publications Inc.,,,,Review,Final,All Open Access; Gold Open Access,1,,,,
